WORLD_ZONE_EU_INTERNATIONAL_STANDARD_LETTER,0,20,20,International Standard Letter,internationalstandardletter
WORLD_ZONE_EU_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20,International Standard Large Letter,internationalstandardlargeletter
WORLD_ZONE_EU_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20,International Standard Small Parcel,internationalstandardsmallparcel
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0,50,50,International Tracked and Signed Letter,internationallettertrackedsigned
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER,0,50,50,International Tracked and Signed Large Letter,internationallargelettertrackedandsigned
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL,0,50,50,International Tracked and Signed Small Parcel,internationalsmallparceltrackedsigned
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked and Signed Letter,internationallettertrackedsigned
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked and Signed Large Letter,internationallargelettertrackedandsigned
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,International Tracked and Signed Small Parcel,internationalsmallparceltrackedsigned
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER,0,50,50,International Tracked Letter,internationaltrackedletter
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER,0,50,50,International Tracked Large Letter,internationaltrackedlargeletter
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_SMALL_PARCEL,0,50,50,International Tracked Small Parcel,internationaltrackedsmallparcel
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked Letter,internationaltrackedletter
WORLD_ZONE_EU_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked Large Letter,internationaltrackedlargeletter
